k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14
26.76658846,0.41439394,0.42588660,0.57989557,0.60753234,0.66591010,0.68615809,0.69508746,0.73522453,0.87814828,0.90365144,0.91261882,0.92755780,0.95461447,0.96195398
27.15135341,0.41631535,0.42764347,0.59084021,0.62097916,0.65734817,0.67980543,0.68730589,0.73156188,0.87679885,0.90586535,0.91197703,0.92472126,0.94814246,0.95952717
27.53611836,0.41997263,0.43143059,0.60001612,0.63272844,0.64891988,0.67236723,0.68097925,0.72865107,0.87550338,0.90404393,0.91429476,0.92171351,0.93900446,0.95949450
27.92088331,0.42547158,0.43720365,0.60591375,0.63723459,0.64550349,0.66391848,0.67759265,0.72676578,0.87421656,0.90163595,0.91236506,0.92279098,0.92966175,0.96089220
28.30564826,0.43280985,0.44482922,0.60741046,0.62928194,0.65171408,0.65588765,0.67670786,0.72617186,0.87287781,0.89934052,0.90798243,0.92122604,0.92655827,0.96286020
28.69041321,0.44188374,0.45411130,0.60506407,0.61944827,0.64778936,0.65821934,0.67651820,0.72675948,0.87152058,0.89679178,0.90456936,0.91577800,0.92949140,0.96482327
29.07517816,0.45249784,0.46480495,0.60065939,0.60877099,0.64118636,0.66252004,0.67539061,0.72764213,0.87045140,0.89397591,0.90315472,0.91334810,0.93166616,0.96632685
29.45994310,0.46436721,0.47662331,0.59571360,0.59776563,0.63535932,0.66464211,0.67295823,0.72744351,0.87025738,0.89195362,0.90332031,0.91406469,0.93283198,0.96701829
29.84470805,0.47709866,0.48924185,0.58690377,0.59116464,0.63038225,0.66400931,0.66958999,0.72511312,0.87143440,0.89149717,0.90460374,0.91762986,0.93294645,0.96669975
30.22947300,0.49012891,0.50230234,0.57667740,0.58751508,0.62635859,0.66060719,0.66559911,0.72042332,0.87399856,0.89262926,0.90689936,0.92360377,0.93206925,0.96540492
30.61423795,0.50258023,0.51541138,0.56757415,0.58516325,0.62339503,0.65507005,0.66097846,0.71391475,0.87750971,0.89481009,0.91030820,0.92997276,0.93166297,0.96356173
30.99900290,0.51299490,0.52808131,0.56041120,0.58442352,0.62149609,0.64820890,0.65590499,0.70658554,0.88134093,0.89725980,0.91492421,0.92780947,0.93914441,0.96270987
31.38376785,0.51915533,0.53947463,0.55666201,0.58552059,0.62029562,0.64144050,0.65064348,0.69960187,0.88483565,0.89938110,0.92039879,0.92533324,0.94253895,0.96693059
31.76853280,0.51945605,0.54782426,0.55775587,0.58813146,0.61893995,0.63723665,0.64562023,0.69406450,0.88731622,0.90085554,0.92197345,0.92758325,0.94014005,0.97752125
32.15329775,0.51531529,0.55075239,0.56295228,0.59021377,0.61844951,0.63645857,0.64244257,0.69078633,0.88814626,0.90138167,0.92059903,0.93323758,0.93570666,0.99052921
32.31037738,0.51520798,0.55050073,0.56299436,0.58965365,0.61905075,0.63641028,0.64287172,0.69090963,0.88786984,0.90116316,0.92082205,0.93065140,0.93803476,0.98418095
32.46745701,0.51487172,0.54977877,0.56319141,0.58825536,0.62059940,0.63629223,0.64409562,0.69129946,0.88707088,0.90066495,0.92131198,0.92773423,0.94037150,0.97769647
32.62453665,0.51431780,0.54869883,0.56344078,0.58625723,0.62285274,0.63633811,0.64585871,0.69194665,0.88580761,0.89993491,0.92133184,0.92551914,0.94210822,0.97183644
32.78161628,0.51356486,0.54738319,0.56363729,0.58389185,0.62557044,0.63669538,0.64797698,0.69283611,0.88416138,0.89902122,0.91934554,0.92550457,0.94270948,0.96714107
32.93869591,0.51263783,0.54593241,0.56370673,0.58133431,0.62856489,0.63742786,0.65033523,0.69394727,0.88222058,0.89796123,0.91625701,0.92672133,0.94150824,0.96429550
33.09577554,0.51156668,0.54442053,0.56361149,0.57870490,0.63169548,0.63855217,0.65285357,0.69525462,0.88006904,0.89678299,0.91293531,0.92822207,0.93835701,0.96349353
33.25285518,0.51038479,0.54290010,0.56334430,0.57608550,0.63484683,0.64006308,0.65546936,0.69672831,0.87778068,0.89551037,0.90957652,0.92955521,0.93412279,0.96411127
33.40993481,0.50912736,0.54140846,0.56291949,0.57353333,0.63790827,0.64195184,0.65812900,0.69833480,0.87541900,0.89416679,0.90625247,0.92775183,0.93242162,0.96543534
33.56701444,0.50782984,0.53997256,0.56236469,0.57109016,0.64077362,0.64420547,0.66078418,0.70003745,0.87303861,0.89277680,0.90300764,0.92272803,0.93373472,0.96704463
33.72409407,0.50652666,0.53861244,0.56171411,0.56878786,0.64339014,0.64675835,0.66338986,0.70179711,0.87068746,0.89136626,0.89987827,0.91750771,0.93524789,0.96872672
33.88117371,0.50525019,0.53734356,0.56100356,0.56665188,0.64578987,0.64946224,0.66590333,0.70357266,0.86840870,0.88996171,0.89689763,0.91246158,0.93671163,0.97037144
34.03825334,0.50403005,0.53617831,0.56026702,0.56470353,0.64801926,0.65215791,0.66828367,0.70532165,0.86624213,0.88858926,0.89409814,0.90772481,0.93807378,0.97191715
34.19533297,0.50289272,0.53512696,0.55953432,0.56296162,0.65008650,0.65472914,0.67049172,0.70700089,0.86422508,0.88727287,0.89151305,0.90338904,0.93930907,0.97332654
34.35241261,0.50186134,0.53419823,0.55882965,0.56144386,0.65196997,0.65709553,0.67249030,0.70856727,0.86239272,0.88603130,0.88917956,0.89952882,0.94040087,0.97457546
34.50949224,0.50095568,0.53339956,0.55817083,0.56016771,0.65363623,0.65919606,0.67424467,0.70997874,0.86077807,0.88487239,0.88714583,0.89620671,0.94133692,0.97564750
34.66657187,0.50019216,0.53273724,0.55757107,0.55914897,0.65505041,0.66098035,0.67572328,0.71119556,0.85941150,0.88378580,0.88548100,0.89347112,0.94210783,0.97653113
34.82365150,0.49958404,0.53221647,0.55704715,0.55839399,0.65618114,0.66240587,0.67689858,0.71218180,0.85831991,0.88276513,0.88425616,0.89135133,0.94270647,0.97721821
34.98073114,0.49914144,0.53184135,0.55663028,0.55788911,0.65700282,0.66343782,0.67774796,0.71290700,0.85752572,0.88188984,0.88346193,0.88985499,0.94312757,0.97770309
35.13781077,0.49887153,0.53161482,0.55636111,0.55760601,0.65749672,0.66405016,0.67825463,0.71334792,0.85704575,0.88130108,0.88302451,0.88897295,0.94336761,0.97798208
35.29489040,0.49877858,0.53153867,0.55627084,0.55752080,0.65765148,0.66422687,0.67840835,0.71348998,0.85689018,0.88109298,0.88289962,0.88869127,0.94342466,0.97805320
