xi,Z,X,E
1.33470469,1.33470469,0.00000000,1.33470469
1.34100047,1.34100047,0.00000000,1.34100047
1.34729625,1.34729625,0.00000000,1.34729625
1.35359203,1.35359203,0.00000000,1.35359203
1.35988780,1.35988780,0.00000000,1.35988780
1.36618358,1.36618358,0.00000000,1.36618358
1.37247936,1.37247936,0.00000000,1.37247936
1.37877513,1.37877513,0.00000000,1.37877513
1.38507091,1.38507091,0.00000000,1.38507091
1.39136669,1.39136669,0.00000000,1.39136669
1.39766246,1.39766246,0.00000000,1.39766246
1.40395824,1.40395824,0.00000000,1.40395824
1.41025402,1.41025402,0.00000000,1.41025402
1.41654979,1.41654979,0.00000000,1.41654979
1.42284557,1.42284557,0.00000000,1.42284557
1.42914135,1.42914135,0.00000000,1.42914135
1.43543712,1.43543712,0.00000000,1.43543712
1.44173290,1.44173290,0.00000000,1.44173290
1.44802868,1.44802868,0.00000000,1.44802868
1.45432445,1.45432445,0.00000000,1.45432445
1.46062023,1.46062023,0.00000000,1.46062023
1.46691601,1.46691601,0.00000000,1.46691601
1.47321179,1.47321179,0.00000000,1.47321179
1.47950756,1.47950756,0.00000000,1.47950756
1.48580334,1.48580334,0.00000000,1.48580334
1.49209912,1.49209912,0.00000000,1.49209912
1.49839489,1.49839489,0.00000000,1.49839489
1.50469067,1.50469067,0.00000000,1.50469067
1.51098645,1.51098645,0.00000000,1.51098645
1.51728222,1.51728222,0.00000000,1.51728222
1.52357800,1.52357800,0.00000000,1.52357800
1.52987378,1.52987378,0.00000000,1.52987378
1.53616955,1.53616955,0.00000000,1.53616955
1.54246533,1.54246533,0.00000000,1.54246533
1.54876111,1.54876111,0.00000000,1.54876111
1.55505688,1.55505688,0.00000000,1.55505688
1.56135266,1.56135266,0.00000000,1.56135266
1.56764844,1.56764844,0.00000000,1.56764844
1.57394422,1.57078854,0.00494468,1.57079633
1.58023999,1.57072628,0.01483385,1.57079633
1.58653577,1.57060176,0.02472244,1.57079633
1.59283155,1.57041499,0.03461004,1.57079633
1.59912732,1.57016597,0.04449627,1.57079633
1.60542310,1.56985472,0.05438074,1.57079633
1.61171888,1.56948124,0.06426305,1.57079633
1.61801465,1.56904555,0.07414282,1.57079633
1.62431043,1.56854767,0.08401964,1.57079633
1.63060621,1.56798762,0.09389314,1.57079633
1.63690198,1.56736542,0.10376291,1.57079633
1.64319776,1.56668109,0.11362857,1.57079633
1.64949354,1.56593467,0.12348973,1.57079633
1.65578931,1.56512618,0.13334599,1.57079633
1.66208509,1.56425565,0.14319697,1.57079633
1.66838087,1.56332312,0.15304227,1.57079633
1.67467664,1.56232862,0.16288151,1.57079633
1.68097242,1.56127220,0.17271429,1.57079633
1.68726820,1.56015389,0.18254022,1.57079633
1.69356398,1.55897375,0.19235892,1.57079633
1.69985975,1.55773181,0.20216999,1.57079633
1.70615553,1.55642813,0.21197305,1.57079633
1.71245131,1.55506276,0.22176771,1.57079633
1.71874708,1.55363575,0.23155358,1.57079633
1.72504286,1.55214716,0.24133027,1.57079633
1.73133864,1.55059705,0.25109739,1.57079633
1.73763441,1.54898547,0.26085457,1.57079633
1.74393019,1.54731250,0.27060140,1.57079633
1.75022597,1.54557820,0.28033751,1.57079633
1.75652174,1.54378264,0.29006250,1.57079633
1.76281752,1.54192589,0.29977600,1.57079633
1.76911330,1.54000802,0.30947762,1.57079633
1.77540907,1.53802911,0.31916697,1.57079633
1.78170485,1.53598924,0.32884366,1.57079633
1.78800063,1.53388849,0.33850733,1.57079633
1.79429641,1.53172693,0.34815758,1.57079633
1.80059218,1.52950467,0.35779402,1.57079633
1.80688796,1.52722178,0.36741629,1.57079633
1.81318374,1.52487836,0.37702399,1.57079633
1.81947951,1.52247450,0.38661675,1.57079633
1.82577529,1.52001029,0.39619418,1.57079633
1.83207107,1.51748583,0.40575592,1.57079633
1.83836684,1.51490122,0.41530156,1.57079633
1.84466262,1.51225657,0.42483075,1.57079633
