t_fs,Re_E,Im_E,intensity
-791.015625,14.779057831982188,-0.5128510013061347,218.68356655061476
-790.0390625,14.665694017016378,-0.3375568761736041,215.1965256454021
-789.0625,14.54931000810533,-0.16482394115620158,211.7095886435322
-788.0859375,14.42995012050736,0.005265978741313848,208.22348821086257
-787.109375,14.307662018608848,0.17263081575457884,204.73899383729037
-786.1328125,14.182497009401455,0.33718844061299436,201.25691746616425
-785.15625,14.054510301329803,0.4988569333492263,197.77811805013607
-784.1796875,13.923761220845329,0.6575549466562793,194.30350504298835
-783.203125,13.790313377919976,0.8132021380769414,190.83404077861158
-782.2265625,13.654234754499068,0.9657196395573102,187.37074115319695
-781.25,13.515597687205144,1.1150305479196336,183.91467396517896
-780.2734375,13.374478738146655,1.2610604289766671,180.4669549226678
-779.296875,13.23095847004005,1.4037378138127052,177.02874188585224
-778.3203125,13.085121139946818,1.54299464781357,173.60122773026444
-777.34375,12.937054312221271,1.6787666590270995,170.18563177282402
-776.3671875,12.78684839509698,1.8109936366409998,166.78318983114838
-775.390625,12.63459612860833,1.9396196223616027,163.3951436124947
-774.4140625,12.480392065298291,2.0645930069127076,160.02273038775343
-773.4375,12.3243320724795,2.185866515529685,156.66717345646074
-772.4609375,12.166512865825432,2.3033970821159904,153.32967343219624
-771.484375,12.00703158562585,2.4171456374941225,150.01140053107366
-770.5078125,11.845985443161448,2.5270768429805215,146.7134884899213
-769.53125,11.683471465311657,2.6331587844164988,143.4370306647015
-768.5546875,11.519586341598352,2.7353626328871625,140.18307821493468
-767.578125,11.354426356470459,2.8336622937046636,136.95263987927459
-766.6015625,11.18808739482986,2.9280340826580584,133.74668314355804
-765.625,11.020665024908627,3.018456459318989,130.5661369880488
-764.6484375,10.852254657062714,3.1049098206163666,127.41189613589934
-763.671875,10.682951751522106,3.18737634926742,124.28482611721856
-762.6953125,10.512852037448297,3.2658399279657724,121.18576839637629
-761.71875,10.34205172456255,3.3402861393433936,118.11554536621678
-760.7421875,10.170647708297224,3.4107023517680344,115.07496533864757
-759.765625,9.99873776120477,3.477077865305983,112.06482729874298
-758.7890625,9.826420682504743,3.539404094330933,109.08592477252355
-757.8125,9.653796380686025,3.5976747861777767,106.1390484268459
-756.8359375,9.480965892084406,3.6518862808568766,103.22498765517852
-755.859375,9.308031354078128,3.7020377948188257,100.34453152276855
-754.8828125,9.1350959357281,3.748131695633409,97.49846896276777
-753.90625,8.962263709932973,3.790173750680304,94.68758786672757
-752.9296875,8.789639461893143,3.828173359144215,91.91267313773068
-751.953125,8.617328455059148,3.862143775937876,89.17450424838776
-750.9765625,8.44543617906736,3.8921023129465517,86.47385266914378
-750.0,8.27406807986093,3.9180704957180055,83.81147899958948
-749.0234375,8.103329256745283,3.9400741758229296,81.18812955421079
-748.046875,7.9333241262655365,3.9581436187444243,78.60453259899404
-747.0703125,7.764156073442306,3.972313576366795,76.06139468175898
-746.09375,7.595927104853777,3.9826233292753175,73.5593971651403
-745.1171875,7.428737493729778,3.9891166820923942,71.09919265409441
-744.140625,7.262685399866164,3.99184191610016,68.68140110056332
-743.1640625,7.097866466436322,3.9908517146384836,66.30660578359416
