time_ms,I_total_with_RE_MA,I_r_MA,I_th_with_RE_MA,I_total_baseline_MA
5.91583166e+00,1.27977737e+01,2.79238009e-01,1.25185357e+01,1.25310668e+01
5.93987976e+00,1.27937272e+01,2.82615846e-01,1.25111114e+01,1.25236350e+01
5.96392786e+00,1.27897260e+01,2.86034544e-01,1.25036914e+01,1.25162077e+01
5.98797595e+00,1.27857705e+01,2.89494595e-01,1.24962759e+01,1.25087847e+01
6.01202405e+00,1.27818613e+01,2.92996504e-01,1.24888648e+01,1.25013662e+01
6.03607214e+00,1.27779988e+01,2.96540775e-01,1.24814581e+01,1.24939520e+01
6.06012024e+00,1.27741836e+01,3.00127920e-01,1.24740557e+01,1.24865423e+01
6.08416834e+00,1.27704162e+01,3.03758457e-01,1.24666578e+01,1.24791369e+01
6.10821643e+00,1.27666971e+01,3.07432911e-01,1.24592642e+01,1.24717359e+01
6.13226453e+00,1.27630268e+01,3.11151813e-01,1.24518750e+01,1.24643394e+01
6.15631263e+00,1.27594059e+01,3.14915702e-01,1.24444902e+01,1.24569472e+01
6.18036072e+00,1.27558349e+01,3.18725120e-01,1.24371098e+01,1.24495594e+01
6.20440882e+00,1.27523144e+01,3.22580620e-01,1.24297338e+01,1.24421760e+01
6.22845691e+00,1.27488449e+01,3.26482758e-01,1.24223621e+01,1.24347969e+01
6.25250501e+00,1.27454269e+01,3.30432098e-01,1.24149948e+01,1.24274222e+01
6.27655311e+00,1.27420611e+01,3.34429212e-01,1.24076319e+01,1.24200520e+01
6.30060120e+00,1.27387480e+01,3.38474677e-01,1.24002733e+01,1.24126860e+01
6.32464930e+00,1.27354882e+01,3.42569079e-01,1.23929192e+01,1.24053245e+01
6.34869739e+00,1.27322823e+01,3.46713009e-01,1.23855693e+01,1.23979673e+01
6.37274549e+00,1.27291309e+01,3.50907066e-01,1.23782238e+01,1.23906145e+01
6.39679359e+00,1.27260346e+01,3.55151857e-01,1.23708827e+01,1.23832660e+01
6.42084168e+00,1.27229940e+01,3.59447995e-01,1.23635460e+01,1.23759219e+01
6.44488978e+00,1.27200097e+01,3.63796102e-01,1.23562136e+01,1.23685821e+01
6.46893788e+00,1.27170823e+01,3.68196806e-01,1.23488855e+01,1.23612467e+01
6.49298597e+00,1.27142125e+01,3.72650744e-01,1.23415618e+01,1.23539157e+01
6.51703407e+00,1.27114010e+01,3.77158562e-01,1.23342424e+01,1.23465890e+01
6.54108216e+00,1.27086483e+01,3.81720911e-01,1.23269274e+01,1.23392666e+01
6.56513026e+00,1.27059551e+01,3.86338448e-01,1.23196167e+01,1.23319486e+01
6.58917836e+00,1.27033222e+01,3.91011842e-01,1.23123103e+01,1.23246350e+01
6.61322645e+00,1.27007501e+01,3.95741768e-01,1.23050083e+01,1.23173256e+01
6.63727455e+00,1.26982395e+01,4.00528910e-01,1.22977106e+01,1.23100206e+01
6.66132265e+00,1.26957912e+01,4.05373960e-01,1.22904172e+01,1.23027200e+01
6.68537074e+00,1.26934058e+01,4.10277619e-01,1.22831282e+01,1.22954236e+01
6.70941884e+00,1.26910841e+01,4.15240595e-01,1.22758435e+01,1.22881316e+01
6.73346693e+00,1.26888267e+01,4.20263606e-01,1.22685631e+01,1.22808439e+01
6.75751503e+00,1.26866344e+01,4.25347378e-01,1.22612870e+01,1.22735606e+01
6.78156313e+00,1.26845079e+01,4.30492647e-01,1.22540152e+01,1.22662815e+01
6.80561122e+00,1.26824480e+01,4.35700156e-01,1.22467478e+01,1.22590068e+01
6.82965932e+00,1.26804553e+01,4.40970657e-01,1.22394847e+01,1.22517364e+01
6.85370741e+00,1.26785307e+01,4.46304914e-01,1.22322258e+01,1.22444703e+01
6.87775551e+00,1.26766750e+01,4.51703697e-01,1.22249713e+01,1.22372085e+01
6.90180361e+00,1.26748889e+01,4.57167787e-01,1.22177211e+01,1.22299510e+01
6.92585170e+00,1.26731731e+01,4.62697974e-01,1.22104751e+01,1.22226978e+01
6.94989980e+00,1.26715286e+01,4.68295057e-01,1.22032335e+01,1.22154490e+01
6.97394790e+00,1.26699560e+01,4.73959845e-01,1.21959962e+01,1.22082044e+01
6.99799599e+00,1.26684563e+01,4.79693158e-01,1.21887631e+01,1.22009641e+01
7.02204409e+00,1.26670302e+01,4.85495830e-01,1.21815344e+01,1.21937281e+01
7.04609218e+00,1.26656786e+01,4.91368695e-01,1.21743099e+01,1.21864964e+01
7.07014028e+00,1.26644023e+01,4.97312601e-01,1.21670897e+01,1.21792690e+01
7.09418838e+00,1.26632022e+01,5.03328409e-01,1.21598738e+01,1.21720459e+01
7.11823647e+00,1.26620792e+01,5.09416987e-01,1.21526622e+01,1.21648270e+01
7.14228457e+00,1.26610341e+01,5.15579216e-01,1.21454549e+01,1.21576125e+01
7.16633267e+00,1.26600678e+01,5.21815987e-01,1.21382518e+01,1.21504022e+01
7.19038076e+00,1.26591812e+01,5.28128201e-01,1.21310530e+01,1.21431962e+01
7.21442886e+00,1.26583753e+01,5.34516772e-01,1.21238585e+01,1.21359945e+01
7.23847695e+00,1.26576508e+01,5.40982623e-01,1.21166682e+01,1.21287970e+01
7.26252505e+00,1.26570089e+01,5.47526688e-01,1.21094822e+01,1.21216038e+01
7.28657315e+00,1.26564504e+01,5.54149914e-01,1.21023005e+01,1.21144149e+01
