r_over_l_AGN,gamma_AGN,r_over_l_GRB,gamma_GRB,r_over_l_Pulsar,gamma_Pulsar
5.44377065e+01,2.30512305e+00,1.06287204e+03,2.88107458e+01,4.69647011e+03,1.01855549e+02
5.58061171e+01,2.32427820e+00,1.10988760e+03,2.92294408e+01,4.94968541e+03,1.03654153e+02
5.72089257e+01,2.34359252e+00,1.15898287e+03,2.96542205e+01,5.21655309e+03,1.05484517e+02
5.86469970e+01,2.36306735e+00,1.21024985e+03,3.00851734e+01,5.49780924e+03,1.07347202e+02
6.01212173e+01,2.38270400e+00,1.26378459e+03,3.05223891e+01,5.79422961e+03,1.09242779e+02
6.16324954e+01,2.40250384e+00,1.31968741e+03,3.09659587e+01,6.10663181e+03,1.11171829e+02
6.31817627e+01,2.42246820e+00,1.37806307e+03,3.14159746e+01,6.43587752e+03,1.13134943e+02
6.47699743e+01,2.44259847e+00,1.43902093e+03,3.18725303e+01,6.78287486e+03,1.15132722e+02
6.63981090e+01,2.46289602e+00,1.50267524e+03,3.23357210e+01,7.14858095e+03,1.17165779e+02
6.80671705e+01,2.48336223e+00,1.56914526e+03,3.28056431e+01,7.53400448e+03,1.19234737e+02
6.97781874e+01,2.50399852e+00,1.63855554e+03,3.32823943e+01,7.94020853e+03,1.21340229e+02
7.15322146e+01,2.52480629e+00,1.71103615e+03,3.37660740e+01,8.36831353e+03,1.23482900e+02
7.33303330e+01,2.54578696e+00,1.78672290e+03,3.42567828e+01,8.81950026e+03,1.25663407e+02
7.51736510e+01,2.56694199e+00,1.86575761e+03,3.47546229e+01,9.29501323e+03,1.27882419e+02
7.70633049e+01,2.58827281e+00,1.94828838e+03,3.52596979e+01,9.79616399e+03,1.30140615e+02
7.90004593e+01,2.60978088e+00,2.03446986e+03,3.57721129e+01,1.03243348e+04,1.32438687e+02
8.09863084e+01,2.63146768e+00,2.12446352e+03,3.62919746e+01,1.08809826e+04,1.34777339e+02
8.30220761e+01,2.65333469e+00,2.21843800e+03,3.68193913e+01,1.14676426e+04,1.37157288e+02
8.51090172e+01,2.67538342e+00,2.31656940e+03,3.73544728e+01,1.20859331e+04,1.39579263e+02
8.72484182e+01,2.69761537e+00,2.41904158e+03,3.78973303e+01,1.27375593e+04,1.42044006e+02
